	z_coordinate_0	z_coordinate_1
0	-0.13256912	-0.030744553
1	-0.17524937	-0.05471489
2	-0.23954743	-0.03405574
3	-0.22099838	0.020210564
4	-0.21358636	-0.07918385
5	-0.11785698	-0.112891614
6	-0.15031213	0.034198284
7	-0.19501534	-0.11450882
8	-0.33673367	-0.10489449
9	-0.21102056	-0.1132735
10	-0.08103612	-0.091460794
11	-0.030329645	-0.098148614
12	-0.23976818	-0.06016466
13	-0.17556617	-0.04148373
14	-0.16946054	-0.06247595
15	-0.16494298	-0.09717536
16	0.0070255846	0.0034999251
17	-0.09548858	-0.11456138
18	-0.12397364	0.07885504
19	-0.21818826	0.030510813
20	-0.025928825	0.025645524
21	-0.22882918	-0.12267509
22	-0.28673187	-0.12017569
23	-0.13338622	0.027396888
24	-0.21769425	-0.016547173
25	-0.11704546	-0.08203453
26	-0.068310216	-0.069776535
27	-0.1455963	-0.080228105
28	-0.18616077	-0.04818836
29	-0.051428318	0.029057354
30	-0.19878066	-0.1349499
31	-0.09346689	-0.06237395
32	-0.14792934	-0.071729705
33	-0.22503453	-0.038847357
34	-0.34060875	-0.021270245
35	-0.2832511	-0.0021728873
36	0.05392161	-0.0024034083
37	-0.19452909	-0.0866037
38	-0.093596175	-0.03399998
39	-0.22400293	-0.1055152
40	-0.16337082	-0.05350384
41	-0.072996974	-0.03021413
42	-0.28053746	0.054665774
43	-0.17826295	-0.116907924
44	-0.069358826	-0.108582705
45	-0.21866313	-0.0013952553
46	-0.20830902	-0.07812597
47	-0.17914563	-0.013050616
48	-0.23621142	-0.118955374
49	-0.12559122	0.07625723
50	-0.04103805	0.12129375
51	-0.059367254	-0.12410921
52	-0.2490466	0.026387453
53	-0.18162608	-0.05372694
54	-0.16082203	-0.0958249
55	-0.20446649	-0.13265821
56	-0.08340739	-0.11337745
57	-0.17925593	-0.044909596
58	-0.11699347	-0.1523022
59	-0.2733499	-0.080800906
60	-0.16087174	-0.04089746
61	-0.22078112	0.08740011
62	-0.20511273	0.0019434094
63	-0.059062004	0.00077034533
64	-0.19375417	-0.10885605
65	-0.022436544	-0.021984816
66	-0.1278782	0.006837964
67	-0.20351258	-0.07061863
68	-0.17072406	-0.019863695
69	-0.17936075	-0.018773958
70	-0.111189574	-0.12672028
71	-0.09718627	-0.100614935
72	-0.13752761	0.012079403
73	-0.11571106	-0.017392442
74	-0.27070752	-0.027985066
75	-0.07263374	-0.12368667
76	-0.30531654	-0.040176064
77	-0.11472571	-0.07612944
78	-0.09680992	-0.0034871697
79	-0.18357	-0.0593189
80	-0.14738715	0.111632824
81	-0.17350408	-0.066060185
82	-0.06030129	-0.23031718
83	-0.15062588	0.011486441
84	-0.1584239	0.06826207
85	-0.23326272	-0.12746648
86	-0.19239941	0.00012758374
87	-0.15798348	-0.0030442476
88	-0.19784534	-0.016557306
89	-0.16680989	-0.107862145
90	-0.01709117	-0.0075358152
91	-0.14773503	-0.022785068
92	-0.16616777	-0.09465915
93	-0.13878638	-0.08959629
94	-0.15119562	-0.094485074
95	-0.09850083	-0.0418642
96	-0.09602508	0.048235297
97	-0.13605124	-0.021821946
98	-0.17687726	-0.10363856
99	-0.10101609	-0.123856455
100	-0.2357994	-0.022196472
101	-0.053902015	-0.052426368
102	-0.21454725	-0.040369615
103	-0.18066677	-0.12958224
104	-0.13170485	0.08855209
105	-0.24211273	0.005848706
106	-0.15757576	-0.018432617
107	-0.1267936	-0.11374515
108	-0.21923372	-0.097812206
109	-0.19899452	0.05504194
110	-0.24156249	-0.0034556687
111	-0.13890187	-0.010432839
112	-0.16346061	-0.054316223
113	-0.11190651	-0.03530577
114	-0.13035715	-0.1170111
115	-0.09975931	-0.11197768
116	-0.22417995	-0.05633682
117	-0.12596995	0.11587891
118	-0.30635324	-0.054982007
119	-0.19339818	-0.18143448
120	-0.17055565	-0.049926817
121	-0.13309284	-0.017792612
122	-0.13678454	-0.13081785
123	-0.25170532	-0.00025069714
124	-0.09069534	0.040181935
125	-0.17213467	-0.041163355
126	-0.2802787	-0.011708468
127	-0.15864241	-0.11513454
128	-0.16653654	0.010179356
129	-0.15913224	-0.04728128
130	-0.2685791	0.0069975555
131	-0.09660202	0.007231593
132	-0.22084993	-0.10190116
133	-0.12517875	0.032673895
134	-0.18127	0.030323923
135	-0.18516943	-0.053626254
136	-0.22841224	-0.009354234
137	-0.24999115	-0.11581351
138	-0.15391237	-0.08403057
139	-0.15369293	-0.112566546
140	-0.21145847	-0.039025426
141	-0.098837435	0.020025313
142	-0.19045085	0.047569245
143	-0.29011586	0.010856986
144	-0.028797701	-0.053784072
145	-0.1831046	-0.07452169
146	-0.2028118	-0.058267564
147	-0.101965606	-0.08232364
148	-0.16450909	-0.108734146
149	-0.2054415	0.042497635
150	-0.21777228	0.09350091
151	-0.0901362	0.053626657
152	-0.2046515	-0.074908644
153	-0.17200032	0.015708447
154	-0.114405155	-0.10417333
155	-0.03259033	-0.14533426
156	-0.18541485	-0.069160044
157	-0.25460872	-0.004573792
158	-0.101667926	-0.00039875507
159	-0.29407308	-0.03656149
160	-0.32694507	-0.18728322
161	-0.23117957	-0.048778236
162	-0.16675279	-0.14422533
163	-0.09740795	-0.03138572
164	-0.19935778	-0.12105322
165	-0.058601886	-0.040265918
166	-0.21832147	-0.077209696
167	-0.16249111	0.044514418
168	-0.16423336	0.06350547
169	-0.2076807	-0.12047933
170	-0.2602528	0.018924534
171	-0.11446704	0.055022627
172	-0.10222721	0.07493293
173	0.024914682	0.04901147
174	-0.14424899	-0.101891786
175	-0.16814414	0.012336969
176	-0.20948464	-0.06766558
177	-0.13213775	-0.07068986
178	-0.1895043	0.008736193
179	-0.2351293	-0.020356894
180	-0.22166523	-0.11126275
