	log_likelihood
399	-52.03709
400	-45.027443
401	-45.327557
402	-53.4952
403	-47.172783
404	-44.40909
405	-54.979736
406	-40.714348
407	-57.557426
408	-49.574505
409	-47.803993
410	-48.894634
411	-51.721703
412	-38.237053
413	-45.854553
414	-39.102684
415	-48.170525
416	-54.424866
417	-46.0534
418	-51.20874
419	-51.602406
420	-50.083782
421	-44.313198
422	-49.041172
423	-47.874146
424	-41.88637
425	-43.653954
426	-58.617836
427	-46.637817
428	-46.35865
429	-51.427025
430	-42.490288
431	-41.69517
432	-46.740303
433	-44.42501
434	-44.683643
435	-50.29017
436	-53.257458
437	-45.461975
438	-50.639954
439	-41.20133
440	-48.853916
441	-49.42221
442	-46.803535
443	-46.3105
444	-52.143444
445	-52.668232
446	-49.3196
447	-64.38218
448	-43.850548
449	-55.09131
450	-46.003788
451	-43.174427
452	-53.60365
453	-50.920906
454	-46.431316
455	-42.46517
456	-50.939423
457	-47.40519
458	-43.55158
459	-54.845936
460	-50.0458
461	-43.35701
462	-48.078743
463	-50.00612
464	-46.021255
465	-51.565163
466	-48.370613
467	-45.569317
468	-46.456482
469	-52.903973
470	-51.726418
471	-39.58663
472	-44.477837
473	-45.056374
474	-50.565228
475	-53.235607
476	-47.135933
477	-49.012398
478	-49.791756
479	-44.32325
480	-49.8805
481	-50.409233
482	-44.520515
483	-52.46348
484	-48.19129
485	-46.5331
486	-55.223602
487	-48.94677
488	-38.18992
489	-50.12092
490	-45.637432
491	-41.111454
492	-51.983967
493	-39.30542
494	-48.200954
495	-59.719704
496	-48.97958
497	-48.93478
498	-49.413982
499	-47.071907
