	log_likelihood
399	-49.79548
400	-48.138622
401	-47.694782
402	-56.451702
403	-45.200512
404	-44.904835
405	-53.244545
406	-49.779263
407	-42.853893
408	-48.487823
409	-49.22953
410	-49.909325
411	-51.600716
412	-41.629467
413	-59.10085
414	-47.58915
415	-40.935005
416	-48.7189
417	-48.2767
418	-52.04823
419	-52.418365
420	-43.664803
421	-42.064186
422	-50.60333
423	-52.315777
424	-47.52842
425	-42.621105
426	-52.192932
427	-49.077095
428	-47.645634
429	-46.40739
430	-46.58995
431	-42.29926
432	-54.960167
433	-48.12027
434	-44.895226
435	-43.884552
436	-49.93411
437	-51.005566
438	-43.785397
439	-47.438774
440	-49.93026
441	-45.19933
442	-48.7304
443	-50.687317
444	-52.928608
445	-58.994762
446	-49.5049
447	-41.409515
448	-48.060814
449	-52.380836
450	-52.869484
451	-51.451874
452	-47.10166
453	-66.40023
454	-58.640755
455	-49.33365
456	-49.79422
457	-47.681297
458	-41.673603
459	-47.56321
460	-43.97932
461	-43.316555
462	-48.896473
463	-44.65266
464	-44.490902
465	-44.68815
466	-46.06159
467	-48.500957
468	-47.282257
469	-51.41864
470	-54.61915
471	-47.81862
472	-47.764553
473	-46.447258
474	-52.070778
475	-53.19507
476	-52.750458
477	-45.29206
478	-46.906567
479	-50.53193
480	-49.958996
481	-46.434963
482	-45.005592
483	-44.5008
484	-45.840942
485	-53.833366
486	-38.168736
487	-43.61434
488	-46.50139
489	-47.27821
490	-41.24685
491	-48.485416
492	-53.21496
493	-46.154076
494	-47.259613
495	-47.124645
496	-46.193604
497	-46.56504
498	-46.109413
499	-48.268433
