	log_likelihood
363	-2663.2678
364	-2658.1902
365	-2657.102
366	-2630.6772
367	-2608.4941
368	-2630.8657
369	-2657.4514
370	-2607.7996
371	-2656.001
372	-2688.4285
373	-2628.2827
374	-2607.251
375	-2699.8481
376	-2691.3235
377	-2616.3374
378	-2623.199
379	-2644.0679
380	-2678.4487
381	-2714.1577
382	-2620.4873
383	-2614.914
384	-2627.8706
385	-2629.1953
386	-2655.7214
387	-2592.3508
388	-2623.922
389	-2624.1758
390	-2636.312
391	-2649.107
392	-2632.9507
393	-2690.7063
394	-2598.3516
395	-2639.5005
396	-2671.1572
397	-2652.3477
398	-2615.5012
399	-2644.7227
400	-2636.2668
401	-2615.5183
402	-2633.0134
403	-2618.0015
404	-2644.2954
405	-2620.5286
406	-2645.21
407	-2630.8435
408	-2665.3274
409	-2651.4285
410	-2597.1372
411	-2645.223
412	-2634.076
413	-2646.0393
414	-2627.8667
415	-2638.377
416	-2666.0952
417	-2610.8042
418	-2658.7493
419	-2639.9995
420	-2610.9026
421	-2610.8938
422	-2653.5356
423	-2632.206
424	-2631.4253
425	-2699.1257
426	-2614.2024
427	-2628.343
428	-2672.3406
429	-2686.0493
430	-2643.9106
431	-2627.587
432	-2628.6213
433	-2633.846
434	-2623.6672
435	-2593.491
436	-2647.7515
437	-2597.8384
438	-2663.6948
439	-2628.1562
440	-2652.9292
441	-2657.6763
442	-2634.1577
443	-2627.5557
444	-2648.6262
445	-2610.6997
446	-2638.173
447	-2613.4668
448	-2642.8716
449	-2611.3108
450	-2667.043
451	-2689.0466
452	-2618.2134
453	-2692.928
454	-2605.4824
455	-2641.3193
456	-2623.9976
457	-2688.544
458	-2638.747
459	-2612.5364
460	-2629.0552
461	-2689.7998
462	-2644.3674
463	-2607.58
464	-2651.273
465	-2605.0554
466	-2639.544
467	-2623.7637
468	-2616.7676
469	-2631.911
470	-2689.2964
471	-2627.1309
472	-2632.5232
473	-2608.405
474	-2672.1567
475	-2628.5425
476	-2609.3716
477	-2613.082
478	-2626.4033
479	-2616.551
480	-2651.7837
481	-2650.7356
482	-2719.939
483	-2627.031
484	-2657.734
485	-2589.6897
486	-2622.4507
487	-2687.827
488	-2635.854
489	-2636.8472
490	-2608.722
491	-2696.644
492	-2640.4253
493	-2657.248
494	-2641.0105
495	-2668.8618
496	-2684.966
497	-2681.8638
498	-2641.675
499	-2636.0984
500	-2605.0642
501	-2647.898
502	-2622.6113
503	-2704.5737
504	-2621.2024
505	-2627.668
506	-2691.852
507	-2602.4917
508	-2605.4707
509	-2658.8838
510	-2641.5425
511	-2669.4563
512	-2647.8745
513	-2659.7456
514	-2646.8726
515	-2651.2363
516	-2675.4792
517	-2667.5186
518	-2702.3848
519	-2629.5598
520	-2613.4612
521	-2625.4343
522	-2630.9448
523	-2636.3403
524	-2626.199
525	-2623.734
526	-2630.4536
527	-2640.5593
528	-2666.0645
529	-2622.2148
530	-2641.7883
531	-2662.9592
532	-2660.6868
533	-2633.0728
534	-2643.1628
535	-2642.6707
536	-2619.0403
537	-2623.9702
538	-2741.6077
539	-2620.7793
540	-2617.56
541	-2593.6714
542	-2619.7256
543	-2654.718
544	-2626.8276
545	-2652.4163
546	-2641.883
547	-2641.3645
548	-2646.9375
549	-2623.809
550	-2627.3347
551	-2649.9521
552	-2649.6863
553	-2653.1465
554	-2602.3796
555	-2643.6628
556	-2653.341
557	-2620.2524
558	-2643.9878
559	-2688.099
560	-2674.1711
561	-2646.7573
562	-2696.8513
563	-2645.8176
564	-2657.847
565	-2620.6147
566	-2637.147
567	-2625.1646
568	-2647.5598
569	-2622.0112
570	-2626.0798
571	-2620.2983
572	-2619.1714
573	-2695.4458
574	-2675.3135
575	-2617.7573
576	-2646.5679
577	-2615.1238
578	-2647.1194
579	-2631.0571
580	-2638.1777
581	-2611.6711
582	-2631.4539
583	-2615.0688
584	-2621.7483
585	-2733.6199
586	-2634.4507
587	-2624.98
588	-2655.7368
589	-2641.4526
590	-2648.5112
591	-2676.2754
592	-2644.5845
