	log_likelihood
363	-2619.4673
364	-2655.6206
365	-2630.6094
366	-2604.7493
367	-2637.8472
368	-2701.2625
369	-2647.5894
370	-2624.181
371	-2617.4216
372	-2599.7483
373	-2624.555
374	-2643.8774
375	-2625.3743
376	-2628.117
377	-2663.8691
378	-2611.6777
379	-2629.2144
380	-2629.6665
381	-2650.6628
382	-2628.014
383	-2601.4656
384	-2655.8928
385	-2609.7866
386	-2612.8247
387	-2659.6265
388	-2602.8157
389	-2628.1382
390	-2590.8135
391	-2631.8752
392	-2677.3743
393	-2630.4844
394	-2613.8484
395	-2617.6309
396	-2636.0344
397	-2705.9922
398	-2621.6426
399	-2614.9097
400	-2659.9941
401	-2637.561
402	-2644.5386
403	-2667.4885
404	-2663.93
405	-2619.3052
406	-2639.029
407	-2651.462
408	-2644.7683
409	-2639.6123
410	-2708.162
411	-2622.1343
412	-2659.4148
413	-2682.4246
414	-2607.9846
415	-2621.8613
416	-2621.7566
417	-2608.0894
418	-2642.52
419	-2673.1924
420	-2636.6973
421	-2637.692
422	-2647.0017
423	-2673.3794
424	-2647.7554
425	-2668.874
426	-2597.599
427	-2623.0586
428	-2627.2131
429	-2604.058
430	-2665.4915
431	-2693.5376
432	-2636.1921
433	-2626.435
434	-2636.2166
435	-2628.4673
436	-2662.293
437	-2612.2395
438	-2615.896
439	-2599.4604
440	-2718.1196
441	-2646.7395
442	-2626.7563
443	-2648.5964
444	-2619.561
445	-2736.2356
446	-2700.2908
447	-2595.0977
448	-2603.9246
449	-2633.3892
450	-2677.6987
451	-2663.4631
452	-2667.0964
453	-2619.0356
454	-2657.3647
455	-2626.119
456	-2619.2056
457	-2667.022
458	-2650.1152
459	-2656.7852
460	-2647.2764
461	-2651.8792
462	-2631.2964
463	-2665.841
464	-2650.898
465	-2655.0952
466	-2635.2883
467	-2669.9185
468	-2651.8594
469	-2657.917
470	-2645.6316
471	-2671.2202
472	-2620.041
473	-2653.5806
474	-2640.7456
475	-2599.0415
476	-2650.4229
477	-2652.4512
478	-2606.1033
479	-2615.5955
480	-2628.8633
481	-2647.2935
482	-2622.3298
483	-2629.7854
484	-2617.802
485	-2600.398
486	-2646.4478
487	-2623.4185
488	-2630.3135
489	-2637.5435
490	-2635.498
491	-2705.9565
492	-2622.0198
493	-2650.3667
494	-2653.0525
495	-2715.2651
496	-2686.8013
497	-2621.446
498	-2676.7659
499	-2615.357
500	-2628.0972
501	-2602.2314
502	-2617.2783
503	-2635.1655
504	-2700.1877
505	-2597.1333
506	-2617.5186
507	-2598.616
508	-2647.987
509	-2614.0112
510	-2663.1587
511	-2627.7334
512	-2635.1768
513	-2605.4277
514	-2631.6587
515	-2633.1165
516	-2617.1174
517	-2612.9517
518	-2623.0198
519	-2608.3416
520	-2692.7925
521	-2659.7554
522	-2605.7915
523	-2637.819
524	-2657.6626
525	-2653.4866
526	-2661.61
527	-2652.2659
528	-2630.2173
529	-2642.4797
530	-2631.0762
531	-2620.6106
532	-2660.6821
533	-2643.456
534	-2632.0085
535	-2682.392
536	-2658.5269
537	-2604.6436
538	-2649.1572
539	-2653.3137
540	-2696.6704
541	-2648.692
542	-2637.3804
543	-2614.134
544	-2602.5688
545	-2627.6187
546	-2615.1235
547	-2627.6255
548	-2657.4087
549	-2642.4329
550	-2641.1677
551	-2678.159
552	-2622.7483
553	-2628.3064
554	-2621.5796
555	-2618.5156
556	-2648.769
557	-2629.7258
558	-2618.2678
559	-2648.1414
560	-2640.7556
561	-2655.0134
562	-2626.7524
563	-2607.8914
564	-2624.3433
565	-2631.7974
566	-2651.543
567	-2647.5803
568	-2698.9475
569	-2662.9683
570	-2634.1455
571	-2660.1985
572	-2629.546
573	-2628.0168
574	-2633.5942
575	-2631.6062
576	-2707.227
577	-2635.3381
578	-2645.5183
579	-2659.1675
580	-2620.1274
581	-2637.0405
582	-2622.3506
583	-2626.7476
584	-2638.7578
585	-2639.3308
586	-2660.4634
587	-2651.4326
588	-2658.1558
589	-2669.8188
590	-2601.2344
591	-2641.9226
592	-2656.0474
593	-2663.6333
594	-2598.827
595	-2604.282
596	-2640.892
597	-2630.996
598	-2633.4927
599	-2673.977
600	-2676.7122
601	-2621.5913
602	-2666.9739
603	-2676.625
604	-2612.7524
605	-2657.637
606	-2653.6226
607	-2623.0176
608	-2608.0828
609	-2603.2
610	-2623.7258
611	-2658.6582
612	-2649.876
613	-2613.778
614	-2633.4224
615	-2610.3286
616	-2699.7124
617	-2649.1855
618	-2630.3193
619	-2603.7888
620	-2660.6138
621	-2643.721
622	-2619.3933
623	-2613.941
624	-2633.2183
625	-2625.1465
626	-2616.72
627	-2650.9802
628	-2659.8484
629	-2600.6323
630	-2605.0767
631	-2621.3
632	-2613.955
633	-2641.5576
634	-2630.78
635	-2618.53
636	-2618.9226
637	-2639.6821
638	-2642.437
639	-2643.1196
640	-2605.3923
641	-2605.0605
642	-2677.2158
643	-2636.5852
644	-2627.1982
645	-2688.1538
646	-2643.612
647	-2668.2788
648	-2628.0159
649	-2648.1145
650	-2632.6995
651	-2666.825
652	-2618.4775
653	-2646.4656
654	-2684.1462
655	-2607.315
656	-2648.485
657	-2665.519
658	-2662.5718
659	-2623.0952
660	-2603.5872
661	-2654.5603
662	-2612.852
663	-2645.1304
664	-2618.2783
665	-2680.5327
666	-2736.6558
667	-2662.4988
668	-2621.356
669	-2633.91
670	-2668.2268
671	-2633.3887
672	-2642.186
673	-2643.2917
674	-2602.4937
675	-2648.535
676	-2616.6177
677	-2683.3916
678	-2720.3164
679	-2628.8066
680	-2653.1057
681	-2670.203
682	-2631.016
683	-2684.8848
684	-2617.9358
685	-2661.308
686	-2619.18
687	-2637.5085
688	-2619.7915
689	-2601.6257
690	-2622.5837
691	-2632.9136
692	-2638.2456
693	-2618.4556
694	-2646.9917
695	-2626.9543
696	-2651.7576
697	-2606.8948
698	-2638.1238
699	-2640.9585
700	-2619.8762
701	-2630.5947
702	-2693.8022
703	-2634.0127
704	-2628.3472
705	-2640.1667
706	-2608.8643
707	-2645.821
708	-2633.2112
709	-2616.216
710	-2630.776
711	-2617.7283
712	-2703.1096
713	-2677.3137
714	-2653.159
715	-2651.444
716	-2646.415
717	-2691.783
718	-2625.544
719	-2639.43
720	-2648.497
721	-2616.396
722	-2649.1646
723	-2705.413
724	-2619.7395
725	-2616.2175
726	-2634.205
727	-2727.724
728	-2617.7615
729	-2623.65
730	-2643.4473
731	-2617.8225
732	-2658.6567
733	-2640.272
734	-2598.005
735	-2613.6934
736	-2655.8354
737	-2616.8433
738	-2634.8628
739	-2618.995
740	-2599.0972
741	-2586.994
742	-2667.0085
743	-2637.344
744	-2618.7825
745	-2637.4739
746	-2594.1409
747	-2645.437
748	-2656.472
749	-2662.2417
750	-2635.0269
751	-2683.0327
752	-2636.3584
753	-2664.018
754	-2648.1372
755	-2637.874
756	-2616.3628
757	-2642.3723
758	-2652.3909
759	-2658.964
760	-2629.2595
761	-2626.1262
762	-2629.277
763	-2619.004
764	-2625.5935
765	-2653.9631
766	-2649.7166
767	-2596.5513
768	-2643.5127
769	-2647.8403
770	-2611.7847
771	-2607.0715
772	-2634.604
773	-2673.3003
774	-2612.7415
775	-2669.9092
776	-2621.8396
777	-2670.1362
778	-2637.6057
779	-2663.0085
780	-2672.937
781	-2617.3425
782	-2616.8823
783	-2623.475
784	-2658.5918
785	-2635.7878
786	-2609.4153
787	-2643.0684
788	-2634.1475
789	-2609.532
790	-2643.2952
791	-2607.8398
792	-2686.8347
793	-2629.7566
794	-2641.2974
795	-2648.2122
796	-2682.3303
797	-2607.1128
798	-2637.2378
799	-2713.3472
800	-2637.424
801	-2677.9707
802	-2674.2527
803	-2656.161
804	-2617.2937
805	-2617.7373
806	-2660.2468
807	-2607.379
808	-2624.6294
809	-2648.3958
810	-2612.6677
811	-2640.3362
812	-2607.6636
813	-2658.071
814	-2662.4277
815	-2649.9563
816	-2663.6548
817	-2659.4023
818	-2633.9692
819	-2635.4978
820	-2647.1533
821	-2638.5676
822	-2596.6206
823	-2708.2407
824	-2619.5852
825	-2646.725
826	-2620.5532
827	-2633.6274
828	-2625.1296
829	-2617.9497
830	-2643.3918
831	-2604.1626
832	-2631.075
833	-2636.5051
834	-2631.481
835	-2615.7644
836	-2624.6108
837	-2624.7202
838	-2640.3179
839	-2607.4585
840	-2612.9858
841	-2667.4336
842	-2658.8782
843	-2609.1138
844	-2601.9856
845	-2643.0203
846	-2679.835
847	-2619.1055
848	-2625.0242
849	-2666.681
850	-2676.8774
851	-2626.7332
852	-2680.8682
853	-2639.0696
854	-2655.0715
855	-2651.8
856	-2660.9368
857	-2630.4604
858	-2610.6802
859	-2620.3533
860	-2645.7505
861	-2653.2673
862	-2640.1099
863	-2666.1343
864	-2673.1328
865	-2612.8992
866	-2610.6675
867	-2642.7148
868	-2652.3923
869	-2640.2297
870	-2691.8977
871	-2640.234
872	-2670.11
873	-2623.4634
874	-2613.5308
875	-2648.4873
876	-2668.815
877	-2604.7388
878	-2637.4116
879	-2653.9995
880	-2667.6406
881	-2621.2007
882	-2670.9348
883	-2650.9146
884	-2690.1772
885	-2643.2263
886	-2608.5876
887	-2640.0457
888	-2626.5547
889	-2665.8508
890	-2606.6118
891	-2673.261
892	-2686.501
893	-2616.5923
894	-2656.2542
895	-2630.061
896	-2639.9797
897	-2619.768
898	-2623.9177
899	-2680.461
900	-2639.286
901	-2620.8184
902	-2620.3696
903	-2646.0872
904	-2699.9946
905	-2626.7808
906	-2629.5664
907	-2610.2761
908	-2670.4614
909	-2641.6702
910	-2611.6055
911	-2613.3997
912	-2614.709
913	-2654.3462
914	-2667.6301
915	-2662.713
916	-2600.4604
917	-2621.7886
918	-2676.2612
919	-2611.2524
920	-2648.2273
921	-2632.358
922	-2660.3862
923	-2615.111
924	-2653.6296
925	-2641.3608
926	-2633.4744
927	-2626.436
928	-2658.3179
929	-2644.1821
930	-2665.1038
931	-2624.4636
932	-2610.4565
933	-2606.7961
934	-2609.1655
