	elbo	tsne_cost
0	-3591.7509765625	6.330442428588867
1	-2608.533203125	12.814306259155273
2	-2134.32568359375	19.38844871520996
3	-1758.2371826171875	25.609235763549805
4	-1623.843505859375	32.14622116088867
5	-1579.1148681640625	38.59223556518555
6	-1554.7015380859375	44.732887268066406
7	-1500.5023193359375	51.11217498779297
8	-1499.7005615234375	57.72565841674805
9	-1435.3389892578125	64.41474151611328
